"ExtraH","mpH"
-2.64697796016969e-23,7.54560108658323e-05
NA,NA
2.26410865016328e-06,8.00014239840853e-05
3.70876010382037e-06,9.66114903488624e-05
9.354114657669e-06,9.29873128452821e-05
NA,NA
5.61753455628629e-08,7.73153841310068e-05
1.55094429008733e-06,8.37484516910881e-05
1.92052364554019e-06,7.86935073008769e-05
1.09848679055359e-06,8.80990075271307e-05
2.05305571740232e-06,7.5054045885963e-05
1.53432651866166e-06,7.81078475236687e-05
1.27411701515122e-06,7.33835906781212e-05
1.6929032819953e-06,7.04102626058812e-05
1.30908493506899e-06,6.17283632902598e-05
2.58317908735536e-06,7.56495636056372e-05
1.01025382960939e-06,8.03792409654936e-05
