"Time","Glucose","CO2","Fungi","Bacteria","Cflush","pH"
0,NA,0,0,0,0,4.1225
0.17,500,NA,NA,NA,NA,NA
1,366.725,4.8899396837368,0.0829768231927078,0.0655569488631702,24.4408938416915,4.0975
2,321.65,23.3484075009574,0.288046291820863,0.200474144161784,NA,4.015
3,164.275,68.1851733762499,2.39586902195647,0.775560607434272,12.6519311268939,4.0325
4,NA,NA,NA,NA,NA,NA
7,16.6028903774384,198.931600280898,5.10821115464145,1.47091995855831,8.2550311694803,4.1125
9,0,203.606134567897,4.82961769751756,1.29234762225211,7.41615540009113,4.0775
14,0,212.48175232304,7.08123277537406,1.74955544813732,18.5593347921254,4.105
16,0,215.775463801901,5.14699647601861,1.25632272115946,11.8712976749927,4.0575
21,0,223.83181564857,2.63948238206074,0.740562116122695,NA,4.125
23,0,227.085494141326,3.02893900630069,0.852566964837277,5.60417984634757,4.1075
30,0,235.131854002967,3.57519082767008,0.840596931229742,NA,4.135
35,0,238.526650485785,0.126307450753004,0.254456798233513,8.84338993866771,4.1525
38,0,240.464350805834,0.132593463619225,0.280768700510184,NA,4.2175
50,0,249.699012218022,0.109393514713654,0.151175645364494,NA,4.1225
58,0,256.137227081827,0.0953628700375414,0.189402651875692,6.41428959714492,4.095
