"Time","Glucose","CO2","Fungi","Bacteria","Cflush","pH","Soil"
0,NA,0,0,0,0,0,"Certovo"
0.19,0.00366339282016175,NA,NA,NA,NA,NA,"Certovo"
1,0.0103450915156342,0.0349727141050435,0.0003366589678747,0.107368575270521,1.01279202598588,0.331970014376753,"Certovo"
2,0.00375925286407254,0.0558876715591816,0.0256123430299252,0.152713208528585,0.566739490771079,0.540346583808847,"Certovo"
3,0.0946045920212265,0.0137974909027133,0.334034578255646,0.446069591855371,0.0786440228091696,0.676602457238156,"Certovo"
4,NA,NA,NA,NA,NA,NA,"Certovo"
7,0.141996695396083,0.000222328071787446,NA,2.07704138086048,0.823057207023318,1.74694219045828,"Certovo"
9,0.00571810285799591,0.0426494535498328,0.0324777981035397,1.49560211025548,0.0398341397537378,0.654668532638488,"Certovo"
14,1.17518875788498e-08,0.0305553290918849,0.00848905438609321,0.0997186935657445,0.0298496738473003,0.693662074361457,"Certovo"
16,8.8884357126811e-11,0.0200121291653406,0.0346192438887536,0.00261004143254774,0.202375889085759,2.50644838214881,"Certovo"
21,3.60819125518331e-15,0.00380318894028028,0.356911764677784,0.167208560224572,NA,0.240230093302154,"Certovo"
23,1.29336863461871e-16,0.000979570577999746,1.33202093682309,0.00716515764973697,0.0360772958805753,0.297338253823905,"Certovo"
30,1.37529286083713e-20,0.002227746276872,1.9891420916811,0.00681071610796764,NA,0.186952099821076,"Certovo"
35,1.29563961336239e-22,0.00824673199273875,0.403991253404525,NA,0.00412250379025644,0.0443587416858084,"Certovo"
38,1.69403235126168e-23,0.0147370516984846,0.059182889219683,0.0171442251855625,NA,0.0122110150621146,"Certovo"
50,4.05542648428206e-26,0.0535613671972485,0.106638405677924,2.35228934365794,NA,0.796229746707231,"Certovo"
58,2.32482550082096e-27,0.076418380859732,0.0784519239336399,2.03285268164191,0.197055179499096,2.1642302705719,"Certovo"
0,NA,0,0,0,0,0,"Plesne"
0.17,0.0126497348341256,NA,NA,NA,NA,NA,"Plesne"
1,0.0130590267490364,0.223136832167728,0.0190872738535475,0.130143223535257,5.27936859984258,0.622673092365886,"Plesne"
2,0.114892261120485,0.696325816032501,0.0609702622062669,1.54020179738936,NA,0.12860286455917,"Plesne"
3,0.00934553289182931,0.81874714479838,0.250449098452942,2.21324078435107,0.081684873674445,0.723902363764028,"Plesne"
4,NA,NA,NA,NA,NA,NA,"Plesne"
7,0.00967233507644403,0.0624943022884408,0.0679973409168136,2.01788180030746,0.611945192846213,0.382121678635861,"Plesne"
9,1.22773028835959e-10,0.0426857010883838,0.0601203679181392,0.767761444117741,0.663110082518254,0.211191235559978,"Plesne"
14,1.01416054088147e-19,0.0147610838289698,0.960865710519166,0.351096808123365,0.998761477812372,0.0184371241671164,"Plesne"
16,5.13491801100856e-23,0.00805481599893523,0.127401626820401,0.0253709192000657,0.0129371421340342,0.913737107599293,"Plesne"
21,8.58957587781633e-31,0.000130670685949801,0.0537221051520129,0.108916326153568,NA,0.308035817094387,"Plesne"
23,9.00133713712464e-34,0.000420839073610433,0.0239666722027337,0.0768819780428958,0.294254264464122,0.0159669130874626,"Plesne"
30,3.0542826453499e-42,0.00968860816521391,0.481342196057896,0.5064087051116,NA,0.434688586445362,"Plesne"
35,9.22958782020653e-49,0.0169872710589535,0.885499786244486,1.51654880159877,0.0709948891715475,1.13042946773482,"Plesne"
38,1.77333008678283e-48,0.0221226273960419,0.726142791456615,1.9876996004656,NA,5.64363340998965,"Plesne"
50,1.68912023296902e-46,0.0574316799587895,0.335733954137226,0.0985849895492592,NA,0.261023070808677,"Plesne"
58,1.94957566541874e-45,0.0926592948222554,0.222372064731853,0.162188857206061,0.1277054548338,0.0627828792966535,"Plesne"
